WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
69.1571,2,1,3,2,1,3,1,1,2,1,90000,1200,3,0.9369,1,0,1,1,1,1,0,1,1,1,1
69.1571,2,1,3,2,2,3,1,1,2,1,82000,1200,3,0.9369,1,1,1,1,0,0,1,0,0,0,0
69.1571,2,1,3,2,3,3,1,1,2,1,68000,1100,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
18.5789,2,1,3,2,2,4,1,1,1,1,90000,1200,3,0.9369,1,0,1,1,1,1,0,1,1,1,1
18.5789,2,1,4,2,1,4,3,2,2,1,90000,1200,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,3,2,1,4,3,1,1,1,76000,920,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,4,2,1,4,3,1,2,1,85000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,4,2,1,4,2,1,2,1,71000,820,1,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,3,2,3,4,1,1,2,1,85000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,3,2,1,4,1,1,2,1,94000,1300,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,3,2,1,4,1,1,2,1,85000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
11.45,2,1,3,2,2,1,1,1,2,1,96000,1200,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,5,2,2,3,1,1,2,1,69000,660,1,0.9369,1,0,1,1,1,1,1,1,1,1,1
15.7455,2,1,4,2,1,2,1,1,2,1,66000,740,1,0.9369,1,0,0,0,0,1,0,0,1,0,0
15.7455,2,1,5,2,1,2,1,1,2,1,90000,1200,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,1,2,1,82000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,1,1,5,2,1,2,3,1,1,1,94000,1300,3,0.9369,1,0,1,1,1,1,1,1,1,1,1
15.7455,1,1,3,2,1,2,1,1,2,1,91000,740,1,0.9369,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,78000,960,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,1,2,1,69000,740,1,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,1,2,1,78000,960,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
69.1571,2,1,3,2,3,3,1,1,2,1,75000,900,1,0.9369,0,0,0,0,0,0,0,0,0,0,0
69.1571,2,1,5,2,2,3,1,1,2,1,73000,1300,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,90000,1200,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,2,2,1,87000,1200,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,1,1,3,2,1,2,3,1,1,1,71000,1100,3,0.9369,1,1,1,1,1,1,1,1,1,1,1
15.7455,2,1,3,2,1,2,1,1,2,1,94000,1300,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,1,1,3,2,1,2,1,1,3,1,65000,1200,3,0.9369,1,1,1,1,1,1,0,0,1,0,0
15.7455,1,1,3,2,1,2,1,2,1,1,67000,1100,3,0.9369,1,1,1,1,1,1,0,0,1,0,0
15.7455,2,1,3,2,1,2,1,1,2,1,100000,1200,1,0.9369,1,1,1,1,1,1,1,0,1,0,0
15.7455,2,1,3,2,1,2,1,1,3,1,76000,920,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,1,3,1,82000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
15.7455,2,1,3,2,1,2,1,1,2,1,82000,1100,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
18.5789,2,1,3,2,3,4,1,1,2,1,94000,1300,3,0.9369,1,0,1,1,1,1,1,1,1,1,0
15.7455,2,1,3,2,2,2,1,1,1,1,90000,1200,3,0.9369,0,0,0,0,0,0,0,0,0,0,0
11.45,2,1,5,2,1,1,3,1,2,1,93000,780,1,0.9369,1,1,1,1,1,1,1,1,1,1,1
69.1571,2,1,5,2,1,3,1,1,2,1,98000,920,1,0.9369,1,1,1,1,1,1,1,1,1,1,1
