LOCATION,REGION,SQFT,WGTADJ,PRICE
1.0,3.0,1200.0,0.9369,90000
2.0,3.0,1200.0,0.9369,82000
3.0,3.0,1100.0,0.9369,68000
2.0,4.0,1200.0,0.9369,90000
1.0,4.0,1200.0,0.9369,90000
1.0,4.0,920.0,0.9369,76000
1.0,4.0,1100.0,0.9369,85000
1.0,4.0,820.0,0.9369,71000
3.0,4.0,1100.0,0.9369,85000
1.0,4.0,1300.0,0.9369,94000
1.0,4.0,1100.0,0.9369,85000
2.0,1.0,1200.0,0.9369,96000
2.0,3.0,660.0,0.9369,69000
1.0,2.0,740.0,0.9369,66000
1.0,2.0,1200.0,0.9369,90000
1.0,2.0,1100.0,0.9369,82000
1.0,2.0,1300.0,0.9369,94000
1.0,2.0,740.0,0.9369,91000
1.0,2.0,960.0,0.9369,78000
1.0,2.0,740.0,0.9369,69000
1.0,2.0,960.0,0.9369,78000
3.0,3.0,900.0,0.9369,75000
2.0,3.0,1300.0,0.9369,73000
1.0,2.0,1200.0,0.9369,90000
1.0,2.0,1200.0,0.9369,87000
1.0,2.0,1100.0,0.9369,71000
1.0,2.0,1300.0,0.9369,94000
1.0,2.0,1200.0,0.9369,65000
1.0,2.0,1100.0,0.9369,67000
1.0,2.0,1200.0,0.9369,100000
1.0,2.0,920.0,0.9369,76000
1.0,2.0,1100.0,0.9369,82000
1.0,2.0,1100.0,0.9369,82000
3.0,4.0,1300.0,0.9369,94000
2.0,2.0,1200.0,0.9369,90000
1.0,1.0,780.0,0.9369,93000
1.0,3.0,920.0,0.9369,98000
1.0,2.0,1200.0,0.9369,56000
3.0,2.0,1200.0,0.9369,92000
3.0,3.0,840.0,0.9369,53000
2.0,4.0,820.0,0.9369,57000
1.0,1.0,960.0,0.9369,95000
1.0,1.0,630.0,0.9369,99000
1.0,1.0,1100.0,0.9369,82000
3.0,1.0,950.0,0.9369,80000
1.0,1.0,1100.0,0.9369,76000
2.0,3.0,1200.0,0.9369,73000
3.0,3.0,1200.0,0.9369,90000
1.0,3.0,1200.0,0.9369,98000
3.0,3.0,840.0,0.9369,65000
3.0,3.0,1200.0,0.9369,100000
2.0,3.0,960.0,0.9369,53000
1.0,3.0,900.0,0.9369,96000
2.0,3.0,1100.0,0.9369,84000
1.0,2.0,1300.0,0.9369,75000
2.0,3.0,1200.0,0.9369,68000
1.0,3.0,1200.0,0.9369,53000
3.0,4.0,820.0,0.9369,71000
1.0,1.0,1200.0,0.9369,90000
1.0,1.0,1000.0,0.9369,80000
3.0,1.0,1100.0,0.9369,82000
3.0,3.0,2000.0,1.0616,140000
2.0,3.0,1700.0,1.0616,130000
3.0,3.0,1700.0,1.0616,140000
3.0,5.0,2600.0,1.0616,270000
3.0,4.0,1200.0,1.0616,210000
3.0,4.0,1300.0,1.0616,140000
2.0,4.0,1700.0,1.0616,130000
3.0,4.0,2200.0,1.0616,190000
1.0,4.0,1500.0,1.0616,140000
2.0,4.0,1600.0,1.0616,210000
1.0,4.0,1400.0,1.0616,180000
1.0,4.0,2000.0,1.0616,160000
1.0,4.0,910.0,1.0616,120000
