PRICE,WEIGHT,SQFT,FINALDEST,LEASE,BEDROOMS,STATUS,REGION,TITLED,SECURED,LOCATION,PIERS
90000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0
82000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0
68000.0,69.1571,1100.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0
90000.0,18.5789,1200.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0
90000.0,18.5789,1200.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,1.0,3.0
76000.0,18.5789,920.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0
85000.0,18.5789,1100.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0
71000.0,18.5789,820.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0
9.0,18.5789,820.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0
85000.0,18.5789,1100.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0
94000.0,18.5789,1300.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0
9.0,18.5789,1100.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0
85000.0,18.5789,1100.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0
96000.0,11.45,1200.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0
69000.0,69.1571,660.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0
66000.0,15.7455,740.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
90000.0,15.7455,1200.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
82000.0,15.7455,1100.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
9.0,18.5789,740.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
94000.0,15.7455,1300.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0
91000.0,15.7455,740.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
9.0,15.7455,1200.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0
78000.0,15.7455,960.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
69000.0,15.7455,740.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
75000.0,69.1571,900.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0
73000.0,69.1571,1300.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0
90000.0,15.7455,1200.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
87000.0,15.7455,1200.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
71000.0,15.7455,1100.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0
94000.0,15.7455,1300.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
65000.0,15.7455,1200.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0
67000.0,15.7455,1100.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
100000.0,15.7455,1200.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
9.0,15.7455,1100.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
76000.0,15.7455,920.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
9.0,18.5789,1200.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
9.0,15.7455,1300.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0
9.0,15.7455,1200.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
82000.0,15.7455,1100.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0
9.0,15.7455,1100.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0
94000.0,18.5789,1300.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0
90000.0,15.7455,1200.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0
9.0,11.45,1100.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0
93000.0,11.45,780.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0
98000.0,69.1571,920.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
9.0,69.1571,1100.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0
56000.0,15.7455,1200.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
92000.0,15.7455,1200.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0
53000.0,69.1571,840.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0
57000.0,18.5789,820.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0
9.0,11.45,840.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
95000.0,11.45,960.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
99000.0,11.45,630.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
82000.0,11.45,1100.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
80000.0,11.45,950.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0
76000.0,11.45,1100.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
73000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0
90000.0,69.1571,1200.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0
